Timestamp,Age:,Gender:,Designation:,Education:,Experience with current organization (in years):,I feel like our organization is like a family where everyone shares openly.,"I see our leaders as supportive, always helping us grow.","In my view, teamwork is key in our decision-making; everyone gets the opportunity to contribute.",I notice that helping each other develop is important here.,I believe our success is measured by how well we work together and support one another.,I see our organization as a place where taking risks and trying new things is encouraged.,I think our leaders push us to be innovative and take initiative.,I believe our management style supports freedom and being different.,I think our commitment to being cutting-edge brings us together.,I feel we define success by how often we introduce new and unique products.,I see our organization as very focused on results and getting things done.,I view our leaders as direct and focused on efficient results.,"From my perspective, our management emphasizes being competitive and achieving a lot.",I believe our drive to meet goals is what unites us.,I feel that winning in the market and outperforming others are our main goals.,I see our organization as very structured and controlled by formal rules.,"In my view, our leaders are great at keeping everything running smoothly.","From my perspective, our management style is about stability and predictable work.",I believe that strict rules and policies keep our organization running well.,I feel that our success is defined by how efficiently we work and keep costs down.,I managed to plan my work so that I finished it on time.,I kept in mind the work result I needed to achieve.,I was able to set priorities.,I was able to carry out my work efficiently.,I managed my time well.,"On my own initiative, I started new tasks when my old tasks were completed.",I took on challenging tasks when they were available.,Community and Collaboration,Innovation and Agility,Competitive Drive,Structure and Control,Task Performance
8/11/2024 10:28,40,Male,Country Manager,Bachelors,9,3,4,3,4,2,4,5,5,3,4,3,4,3,4,3,2,3,3,3,2,4,4,3,4,4,5,5,3.2,4.2,3.4,2.6,3.636363636
8/11/2024 10:32,35,Male,Manager sales ,Intermediate/A Levels,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4.6,4.818181818
8/11/2024 10:58,46,Male,Manager Technical South,Bachelors,2.5,5,5,4,5,5,4,5,3,5,3,5,5,5,5,5,5,5,5,3,4,5,5,5,5,4,5,5,4.8,4,5,4.4,4.636363636
8/11/2024 11:00,38,Male,Manager Accounts and Import,Masters,16,3,3,4,5,5,4,3,3,4,4,4,4,4,3,3,3,3,3,5,5,4,5,5,4,5,5,5,4,3.6,3.6,3.8,4.454545455
8/11/2024 11:06,31,Male,Assistant Manager Works,Bachelors,7,3,4,5,5,5,5,5,4,5,5,5,5,5,5,4,4,4,5,5,5,5,5,4,5,5,5,5,4.4,4.8,4.8,4.6,4.818181818
8/11/2024 11:09,28,Male,Mechanical engineer,Intermediate/A Levels,7,4,4,5,4,4,5,5,5,5,5,4,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,4.2,5,4.6,4.6,4.909090909
8/11/2024 11:19,34,Male,Warehouse incharge,Bachelors,10,5,4,5,4,5,3,4,4,5,4,5,5,5,4,4,4,5,4,3,4,5,4,5,5,5,5,5,4.6,4,4.6,4,4.545454545
8/11/2024 11:26,34,Male,Sr. Sales & services engineer,Masters,0.8,2,4,4,4,2,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3.2,3.4,4,4,3.818181818
8/11/2024 17:14,26,Male,Sr sales and services engineer,Bachelors,3,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.6,4.8,5,5,5
9/11/2024 10:50,34,Male,Sir.Eng.Sales & Services ,DAE Chemical ,13,5,4,4,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,3,5,4,5,5,5,4,5,4,4.4,4.8,5,4.4,4.545454545
10/11/2024 12:00,23,Male,Accounts Officer ,Bachelors,1.5,3,5,4,2,4,5,3,3,4,2,4,3,3,4,3,4,3,4,4,3,2,4,3,3,4,4,3,3.6,3.4,3.4,3.6,3.363636364
10/11/2024 12:18,35,Male,AM sales,Masters,10,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,5,3,4,4,4,4,4,5,5,4.8,4.8,4.2,4.090909091
10/11/2024 12:26,32,Male,Manager Technical & Sales ,Masters,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8,5,5,5,5
10/11/2024 12:30,22,Male,Service Engineer ,Bachelors,,5,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4.4,5,4.8,5,4.909090909
10/11/2024 12:50,27,Male,Service Engineer,Intermediate/A Levels,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10/11/2024 12:51,38,Male,Assistant Manager ,Dae chemical ,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10/11/2024 12:52,22,Male,Service Engineer ,Intermediate/A Levels,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10/11/2024 13:00,20,Male,Sales and Services Engineer ,DAE Chemical Technology ,1,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,2,4,5,4.6,4.6,5,4.545454545
10/11/2024 13:26,24,Male,Trainee Engineer ,Masters,0.9,5,4,3,5,5,3,2,5,3,3,3,4,5,5,5,5,3,4,4,3,4,4,1,5,4,5,4,4.4,3.2,4.4,3.8,3.727272727
10/11/2024 15:37,37,Male,Assistant Manager Electrical & Instruments,DAE Electronics,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,4.727272727
10/11/2024 16:59,38,Male,Assistant account manager ,Bachelors,10,5,5,5,4,4,3,4,5,4,4,4,5,5,3,4,4,5,4,4,4,4,5,5,5,5,4,3,4.6,4,4.2,4.2,4.363636364
10/11/2024 20:04,23,Female,Application Engineer ,Bachelors,5,3,3,1,5,4,3,2,2,3,3,3,3,2,2,2,3,3,3,3,3,3,2,2,3,3,3,3,3.2,2.6,2.4,3,2.818181818
11/11/2024 0:42,23,Male,Service engineer ,Intermediate/A Levels,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/11/2024 9:15,38,Female,Manager Technical,Bachelors,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.6,5,5
13/11/2024 13:11:29,32,Male,Service engineer ,Masters,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4.909090909
13/11/2024 14:37:59,29,Male,Sale and service engineer ,Bachelors,1,4,4,5,5,4,4,3,3,3,4,4,3,3,4,4,3,3,3,3,5,4,4,4,4,4,3,3,4.4,3.4,3.6,3.4,3.636363636
13/11/2024 14:38:26,26,Male,Fitter,Matriculation/O Levels,7,3,4,5,5,5,4,5,4,3,4,5,4,4,4,3,5,5,5,5,5,4,4,5,5,4,4,4,4.4,4,4,5,4.545454545
13/11/2024 14:43:24,21,Male,Technician,Middle,1,4,4,5,5,5,4,5,3,4,3,4,3,3,4,5,5,5,4,5,4,4,4,4,5,5,2,4,4.6,3.8,3.8,4.6,4.181818182
13/11/2024 14:45:10,19,Male,Helper,Matriculation/O Levels,1,5,5,4,3,4,4,3,4,5,5,5,5,5,4,4,4,2,4,3,5,4,3,4,4,4,4,4,4.2,4.2,4.6,3.6,3.727272727
13/11/2024 14:46:06,23,Male,Multi welder ,Matriculation/O Levels,5,4,3,4,3,4,4,3,4,3,3,3,4,3,5,4,4,4,3,3,4,3,5,4,5,5,4,5,3.6,3.4,3.8,3.6,4.090909091
13/11/2024 14:48:11,27,Male,Technician ,Intermediate/A Levels,8,5,5,5,5,5,4,4,5,4,3,4,4,4,4,3,4,4,4,4,4,4,4,5,5,5,4,4,5,4,3.8,4,4.272727273
13/11/2024 14:49:13,37,Male,CAD OPERATOR ,Intermediate/A Levels,14,5,5,4,3,5,3,4,5,3,5,5,5,4,2,2,4,4,4,3,3,5,5,5,5,5,3,4,4.4,4,3.6,3.6,4.181818182
13/11/2024 14:52:49,50,Male,General Manager Technical ,Bachelors,2,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,4,4,5,4,5,4,4,5,5,5,5,5,4.6,4.4,4.545454545
13/11/2024 14:58:38,27,Male,Technician ,Matriculation/O Levels,8,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4.6,4.8,4.909090909
13/11/2024 15:06:57,33,Male,Distribution Officer ,Intermediate/A Levels,10,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.4,5,5,5,5
13/11/2024 15:18:58,30,Male,Chemical kinetics site YKK Ro plant supervisor ,Diploma holder ,10,5,5,5,5,5,5,1,5,5,5,5,5,5,5,4,5,5,5,2,5,5,5,5,5,5,5,5,5,4.2,4.8,4.4,4.727272727
13/11/2024 15:41:23,29,Male,Sales and Service Engineer ,Bachelors,0.25,3,3,3,4,3,3,4,2,3,3,3,3,3,3,4,3,2,2,3,4,4,3,4,4,4,3,3,3.2,3,3.2,2.8,3.272727273
13/11/2024 15:50:28,23,Male,Service engineer ,DAE chemical ,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,3,4,3,3,3.2,3,3.545454545
13/11/2024 16:39:41,25,Female,Application Engineer at Chemical kinetics,Bachelors,1,4,4,4,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,5,4,5,3,2,3,4.4,4,3.8,3.8,3.727272727
13/11/2024 16:40:32,32,Male,Store Helper,Matriculation/O Levels,10,5,5,5,4,5,5,5,5,3,5,5,4,5,5,5,5,5,2,5,4,5,5,5,5,4,5,5,4.8,4.6,4.8,4.2,4.545454545
13/11/2024 16:40:33,22,Male,Assistant Store Incharge,Intermediate/A Levels,1,5,5,4,5,4,3,5,4,5,3,4,5,4,4,4,5,5,5,5,4,5,5,5,5,5,4,5,4.6,4,4.2,4.8,4.818181818
13/11/2024 16:40:33,34,Male,Store.  Helpr,5,8,4,5,5,5,3,4,3,4,3,5,5,4,3,4,2,4,3,2,4,2,4,5,4,4,3,5,4,4.4,3.8,3.6,3,3.636363636
13/11/2024 16:40:34,26,Male,Store helper,5,1,5,5,4,5,4,3,5,4,4,3,4,5,4,4,4,5,5,5,5,4,5,5,5,5,5,4,5,4.6,3.8,4.2,4.8,4.818181818
13/11/2024 16:41:03,39,Female,Manager Accounts & Finance,Masters,12,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4.8,4.6,4.8,5
13/11/2024 16:49:21,26,Male,Searives engineer,Intermediate/A Levels,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14/11/2024 13:32:57,24,Female,Application Engineer at Chemical Kinetics l,Masters,2,3,5,5,5,5,4,3,5,4,5,5,3,4,4,4,4,4,4,5,5,5,4,3,4,2,3,4,4.6,4.2,4,4.4,3.909090909
